Report Number,Date Reported,Date of Occurrence,Time of Occurrence,City,Crime Code,Crime Description,Victim Age,Victim Gender,Weapon Used,Crime Domain,Police Deployed,Case Closed,Date Case Closed,Time Case Closed
38,2020-01-04,2020-01-02,18:04,Varanasi,280,SHOPLIFTING,22,F,Explosives,Other Crime,14,No,,
39,2020-01-03,2020-01-02,21:24,Surat,487,VEHICLE - STOLEN,32,F,None,Violent Crime,13,Yes,2020-03-11,23:00
40,2020-01-03,2020-01-02,14:05,Mumbai,154,FRAUD,69,F,Explosives,Other Crime,10,Yes,2020-01-15,02:00
41,2020-01-05,2020-01-02,01:51,Visakhapatnam,148,HOMICIDE,28,F,Firearm,Other Crime,2,No,,
42,2020-01-03,2020-01-02,11:09,Surat,583,ILLEGAL POSSESSION,42,M,Blunt Object,Other Crime,6,No,,
43,2020-01-03,2020-01-02,09:30,Delhi,172,FIREARM OFFENSE,40,M,Poison,Fire Accident,10,Yes,2020-03-17,03:00
44,2020-01-04,2020-01-02,08:34,Mumbai,300,SEXUAL ASSAULT,44,M,Other,Violent Crime,7,No,,
45,2020-01-05,2020-01-02,06:22,Kolkata,387,ARSON,44,F,Blunt Object,Fire Accident,10,Yes,2020-01-12,19:00
46,2020-01-04,2020-01-02,09:02,Patna,297,DRUG OFFENSE,67,M,Knife,Other Crime,8,No,,
47,2020-01-05,2020-01-02,09:55,Delhi,555,ROBBERY,47,F,None,Violent Crime,9,No,,
48,2020-01-05,2020-01-02,03:42,Lucknow,128,FIREARM OFFENSE,38,F,Blunt Object,Fire Accident,14,Yes,2020-03-14,17:00
49,2020-01-05,2020-01-03,02:59,Jaipur,139,ILLEGAL POSSESSION,77,F,Firearm,Other Crime,17,No,,
50,2020-01-03,2020-01-03,06:06,Hyderabad,561,DRUG OFFENSE,37,F,Blunt Object,Other Crime,7,No,,
51,2020-01-03,2020-01-03,17:10,Nagpur,573,BURGLARY,54,F,Other,Other Crime,12,Yes,2020-04-13,05:00
52,2020-01-05,2020-01-03,19:13,Kolkata,260,BURGLARY,38,F,Blunt Object,Other Crime,5,Yes,2020-04-14,12:00
53,2020-01-05,2020-01-03,22:01,Ghaziabad,211,PUBLIC INTOXICATION,29,M,Poison,Other Crime,15,Yes,2020-01-20,00:00
54,2020-01-05,2020-01-03,18:47,Delhi,312,BURGLARY,75,M,Explosives,Other Crime,2,No,,
55,2020-01-06,2020-01-03,07:47,Pune,548,FIREARM OFFENSE,61,F,Poison,Fire Accident,5,No,,
56,2020-01-04,2020-01-03,11:11,Meerut,596,BURGLARY,49,F,None,Other Crime,19,No,,
57,2020-01-06,2020-01-03,20:16,Kanpur,188,SEXUAL ASSAULT,67,F,Firearm,Violent Crime,8,Yes,2020-07-20,01:00
58,2020-01-03,2020-01-03,09:43,Ahmedabad,110,ASSAULT,70,F,None,Violent Crime,15,No,,
59,2020-01-04,2020-01-03,02:40,Chennai,449,TRAFFIC VIOLATION,75,F,Blunt Object,Traffic Fatality,16,No,,
60,2020-01-05,2020-01-03,05:33,Thane,352,SHOPLIFTING,53,F,Other,Other Crime,6,Yes,2020-03-31,18:00
61,2020-01-03,2020-01-03,15:04,Mumbai,196,SHOPLIFTING,16,M,Poison,Other Crime,10,No,,
62,2020-01-05,2020-01-03,03:32,Surat,359,DRUG OFFENSE,30,M,Explosives,Other Crime,9,Yes,2020-02-09,21:00
63,2020-01-03,2020-01-03,09:27,Chennai,495,FRAUD,56,M,Explosives,Other Crime,5,Yes,2020-03-15,20:00
64,2020-01-06,2020-01-03,23:24,Thane,259,ILLEGAL POSSESSION,19,F,Blunt Object,Other Crime,16,Yes,2020-03-20,06:00
65,2020-01-05,2020-01-03,00:59,Visakhapatnam,289,DRUG OFFENSE,58,F,Explosives,Other Crime,19,No,,
66,2020-01-06,2020-01-03,11:49,Lucknow,409,EXTORTION,45,F,Other,Other Crime,3,Yes,2020-03-15,14:00
67,2020-01-03,2020-01-03,17:48,Bhopal,306,CYBERCRIME,25,M,None,Other Crime,6,No,,
68,2020-01-04,2020-01-03,08:46,Visakhapatnam,420,BURGLARY,22,M,Knife,Other Crime,17,Yes,2020-05-02,20:00
69,2020-01-06,2020-01-03,02:24,Hyderabad,469,PUBLIC INTOXICATION,59,F,Explosives,Other Crime,8,Yes,2020-01-17,09:00
70,2020-01-06,2020-01-03,17:23,Visakhapatnam,292,FIREARM OFFENSE,31,F,Firearm,Fire Accident,1,No,,
71,2020-01-06,2020-01-03,00:50,Kolkata,512,FIREARM OFFENSE,58,F,Poison,Fire Accident,6,No,,
72,2020-01-05,2020-01-03,11:34,Nagpur,244,ARSON,53,F,Knife,Fire Accident,1,Yes,2020-03-23,18:00
73,2020-01-05,2020-01-04,07:58,Lucknow,269,BURGLARY,35,F,Blunt Object,Other Crime,2,No,,
74,2020-01-06,2020-01-04,03:01,Chennai,524,ARSON,36,M,Firearm,Fire Accident,5,Yes,2020-01-20,05:00
75,2020-01-05,2020-01-04,01:45,Ahmedabad,404,CYBERCRIME,70,F,Knife,Other Crime,18,No,,
76,2020-01-06,2020-01-04,20:57,Delhi,191,VANDALISM,52,M,Explosives,Other Crime,7,Yes,2020-01-26,00:00
77,2020-01-04,2020-01-04,14:30,Mumbai,369,KIDNAPPING,25,F,Explosives,Other Crime,14,No,,
78,2020-01-05,2020-01-04,17:02,Indore,517,IDENTITY THEFT,58,F,Knife,Violent Crime,10,Yes,2020-03-29,21:00
79,2020-01-05,2020-01-04,03:40,Mumbai,229,ROBBERY,39,F,Poison,Violent Crime,4,No,,
80,2020-01-07,2020-01-04,23:54,Visakhapatnam,154,VEHICLE - STOLEN,54,F,None,Violent Crime,15,Yes,2020-01-15,03:00
81,2020-01-05,2020-01-04,23:33,Delhi,197,ASSAULT,61,F,Knife,Violent Crime,10,Yes,2020-03-04,03:00
82,2020-01-06,2020-01-04,15:37,Jaipur,421,FRAUD,16,F,Explosives,Other Crime,17,No,,
83,2020-01-06,2020-01-04,09:17,Mumbai,305,ROBBERY,25,F,Firearm,Violent Crime,14,Yes,2020-03-21,12:00
84,2020-01-04,2020-01-04,06:13,Kolkata,150,TRAFFIC VIOLATION,72,F,Blunt Object,Traffic Fatality,9,Yes,2020-01-20,19:00
85,2020-01-05,2020-01-04,12:40,Lucknow,542,PUBLIC INTOXICATION,48,M,Firearm,Other Crime,3,No,,
86,2020-01-06,2020-01-04,06:42,Mumbai,438,VANDALISM,22,M,Other,Other Crime,5,Yes,2020-03-11,17:00
87,2020-01-07,2020-01-04,16:00,Lucknow,498,PUBLIC INTOXICATION,30,F,Firearm,Other Crime,10,Yes,2020-01-18,06:00
88,2020-01-07,2020-01-04,22:04,Rajkot,345,ROBBERY,11,F,Firearm,Violent Crime,1,No,,
89,2020-01-06,2020-01-04,21:21,Mumbai,108,HOMICIDE,16,F,Knife,Other Crime,6,No,,
90,2020-01-06,2020-01-04,06:38,Hyderabad,219,VEHICLE - STOLEN,73,F,Blunt Object,Violent Crime,12,No,,
91,2020-01-05,2020-01-04,17:15,Kolkata,219,BURGLARY,72,F,Poison,Other Crime,9,No,,
92,2020-01-04,2020-01-04,09:21,Jaipur,510,CYBERCRIME,60,F,None,Other Crime,7,No,,
93,2020-01-05,2020-01-04,07:36,Hyderabad,597,FRAUD,53,M,None,Other Crime,13,Yes,2020-04-01,16:00
94,2020-01-06,2020-01-04,08:12,Mumbai,272,SEXUAL ASSAULT,42,F,Firearm,Violent Crime,3,No,,
95,2020-01-06,2020-01-04,22:16,Vasai,413,PUBLIC INTOXICATION,10,M,Firearm,Other Crime,11,No,,
96,2020-01-06,2020-01-04,14:10,Hyderabad,355,DRUG OFFENSE,51,F,Blunt Object,Other Crime,7,No,,
97,2020-01-06,2020-01-05,15:36,Nagpur,523,IDENTITY THEFT,26,F,Explosives,Violent Crime,5,Yes,2020-02-12,02:00
98,2020-01-06,2020-01-05,02:56,Kolkata,486,SEXUAL ASSAULT,71,M,Blunt Object,Violent Crime,6,No,,
99,2020-01-06,2020-01-05,14:38,Hyderabad,292,IDENTITY THEFT,74,F,Explosives,Violent Crime,15,Yes,2020-01-23,23:00
100,2020-01-06,2020-01-05,06:41,Hyderabad,455,DRUG OFFENSE,13,F,Other,Other Crime,13,Yes,2020-01-22,20:00
101,2020-01-06,2020-01-05,14:02,Ahmedabad,515,PUBLIC INTOXICATION,50,F,Knife,Other Crime,1,Yes,2020-01-14,23:00
102,2020-01-05,2020-01-05,22:34,Mumbai,566,EXTORTION,69,F,Explosives,Other Crime,18,No,,
103,2020-01-07,2020-01-05,17:43,Kanpur,419,ASSAULT,34,F,Other,Violent Crime,6,No,,
104,2020-01-07,2020-01-05,14:13,Mumbai,250,VEHICLE - STOLEN,38,F,Poison,Violent Crime,14,Yes,2020-02-19,16:00
105,2020-01-06,2020-01-05,19:30,Lucknow,597,FRAUD,44,F,Blunt Object,Other Crime,16,No,,
106,2020-01-06,2020-01-05,10:05,Hyderabad,583,VEHICLE - STOLEN,69,F,None,Violent Crime,12,Yes,2020-02-22,00:00
107,2020-01-05,2020-01-05,17:21,Lucknow,342,DOMESTIC VIOLENCE,12,F,Blunt Object,Violent Crime,1,No,,
108,2020-01-07,2020-01-05,09:35,Bangalore,417,ARSON,21,F,Poison,Fire Accident,3,Yes,2020-02-09,12:00
109,2020-01-07,2020-01-05,00:07,Chennai,169,PUBLIC INTOXICATION,55,F,Blunt Object,Other Crime,8,No,,
110,2020-01-05,2020-01-05,23:32,Delhi,464,ARSON,15,F,Other,Fire Accident,9,No,,
111,2020-01-07,2020-01-05,23:24,Visakhapatnam,500,ILLEGAL POSSESSION,58,F,Explosives,Other Crime,5,Yes,2020-02-16,04:00
112,2020-01-08,2020-01-05,07:02,Delhi,183,COUNTERFEITING,37,F,None,Other Crime,6,No,,
113,2020-01-07,2020-01-05,14:55,Bangalore,270,HOMICIDE,49,F,Knife,Other Crime,7,Yes,2021-11-08,09:00
114,2020-01-06,2020-01-05,06:42,Surat,259,EXTORTION,30,M,Poison,Other Crime,5,No,,
115,2020-01-07,2020-01-05,08:02,Pune,184,FIREARM OFFENSE,50,F,Blunt Object,Fire Accident,15,Yes,2020-02-03,13:00
116,2020-01-05,2020-01-05,06:26,Mumbai,353,BURGLARY,64,F,Knife,Other Crime,10,No,,
117,2020-01-07,2020-01-05,10:15,Lucknow,235,VANDALISM,43,M,Poison,Other Crime,14,Yes,2020-03-13,04:00
118,2020-01-06,2020-01-05,02:16,Delhi,287,DRUG OFFENSE,32,M,Explosives,Other Crime,13,Yes,2020-03-30,20:00
119,2020-01-07,2020-01-05,23:48,Mumbai,257,ILLEGAL POSSESSION,14,M,Poison,Other Crime,3,Yes,2020-02-27,19:00
120,2020-01-07,2020-01-05,07:04,Pune,537,TRAFFIC VIOLATION,70,M,None,Traffic Fatality,3,Yes,2020-01-27,02:00
121,2020-01-07,2020-01-06,12:16,Ahmedabad,277,VEHICLE - STOLEN,78,F,Firearm,Violent Crime,10,Yes,2020-01-22,14:00
122,2020-01-08,2020-01-06,22:59,Delhi,321,KIDNAPPING,22,F,Other,Other Crime,19,Yes,2020-04-06,19:00
123,2020-01-06,2020-01-06,00:00,Bhopal,432,VANDALISM,60,F,None,Other Crime,4,No,,
124,2020-01-08,2020-01-06,06:56,Ludhiana,129,SEXUAL ASSAULT,44,F,Blunt Object,Violent Crime,2,No,,
125,2020-01-09,2020-01-06,19:19,Pune,347,FRAUD,30,M,Knife,Other Crime,14,No,,
126,2020-01-09,2020-01-06,05:15,Pune,127,ASSAULT,62,F,None,Violent Crime,10,No,,
127,2020-01-07,2020-01-06,00:44,Surat,117,FIREARM OFFENSE,42,F,None,Fire Accident,8,No,,
128,2020-01-07,2020-01-06,02:17,Ghaziabad,339,IDENTITY THEFT,73,F,Knife,Violent Crime,2,Yes,2020-04-01,04:00
129,2020-01-09,2020-01-06,12:39,Kanpur,374,SHOPLIFTING,25,M,Explosives,Other Crime,15,No,,
130,2020-01-08,2020-01-06,14:55,Ghaziabad,111,ROBBERY,33,M,Other,Violent Crime,3,Yes,2020-05-20,14:00
131,2020-01-08,2020-01-06,19:26,Agra,331,ARSON,13,F,Poison,Fire Accident,19,No,,
132,2020-01-07,2020-01-06,06:55,Lucknow,295,IDENTITY THEFT,39,F,Knife,Violent Crime,8,No,,
133,2020-01-06,2020-01-06,19:17,Bangalore,309,HOMICIDE,18,M,None,Other Crime,2,No,,
134,2020-01-06,2020-01-06,00:56,Lucknow,465,ILLEGAL POSSESSION,75,F,Knife,Other Crime,8,No,,
135,2020-01-06,2020-01-06,07:26,Delhi,406,VANDALISM,50,F,Other,Other Crime,15,No,,
136,2020-01-09,2020-01-06,02:16,Delhi,278,FRAUD,71,F,Other,Other Crime,7,No,,
137,2020-01-07,2020-01-06,01:01,Ahmedabad,569,PUBLIC INTOXICATION,38,F,Explosives,Other Crime,12,Yes,2020-01-23,23:00
138,2020-01-08,2020-01-06,20:11,Mumbai,445,ASSAULT,12,M,Blunt Object,Violent Crime,6,No,,
139,2020-01-08,2020-01-06,07:11,Kanpur,465,KIDNAPPING,57,F,Other,Other Crime,2,No,,
140,2020-01-08,2020-01-06,01:17,Jaipur,404,CYBERCRIME,47,F,Firearm,Other Crime,16,Yes,2020-02-06,16:00
141,2020-01-08,2020-01-06,14:13,Delhi,270,DOMESTIC VIOLENCE,73,F,Other,Violent Crime,14,No,,
142,2020-01-07,2020-01-06,06:34,Mumbai,113,FIREARM OFFENSE,41,F,Blunt Object,Fire Accident,4,Yes,2020-03-27,23:00
143,2020-01-07,2020-01-06,12:37,Mumbai,278,ILLEGAL POSSESSION,45,F,None,Other Crime,2,No,,
144,2020-01-07,2020-01-06,16:49,Varanasi,487,ASSAULT,79,F,Firearm,Violent Crime,14,Yes,2020-02-04,06:00
145,2020-01-08,2020-01-07,03:38,Ludhiana,172,IDENTITY THEFT,17,M,Firearm,Violent Crime,10,No,,
146,2020-01-08,2020-01-07,16:44,Kolkata,165,PUBLIC INTOXICATION,15,F,Knife,Other Crime,16,No,,
147,2020-01-07,2020-01-07,18:49,Meerut,514,CYBERCRIME,44,F,Other,Other Crime,6,Yes,2020-01-26,16:00
148,2020-01-07,2020-01-07,22:27,Bangalore,262,COUNTERFEITING,28,F,Knife,Other Crime,8,No,,
149,2020-01-07,2020-01-07,01:09,Agra,558,IDENTITY THEFT,41,F,None,Violent Crime,5,Yes,2020-02-27,06:00
150,2020-01-07,2020-01-07,11:19,Patna,157,SHOPLIFTING,46,F,Knife,Other Crime,1,Yes,2020-04-03,08:00
151,2020-01-08,2020-01-07,13:59,Bhopal,241,DRUG OFFENSE,35,F,Blunt Object,Other Crime,3,Yes,2020-03-27,08:00
152,2020-01-07,2020-01-07,16:17,Bangalore,311,ILLEGAL POSSESSION,67,M,None,Other Crime,16,No,,
153,2020-01-08,2020-01-07,17:21,Delhi,248,IDENTITY THEFT,23,F,Knife,Violent Crime,16,No,,
154,2020-01-09,2020-01-07,19:49,Chennai,523,KIDNAPPING,39,F,Other,Other Crime,11,No,,
155,2020-01-10,2020-01-07,19:37,Bangalore,238,DOMESTIC VIOLENCE,48,F,Blunt Object,Violent Crime,5,No,,
156,2020-01-10,2020-01-07,12:05,Pune,109,DOMESTIC VIOLENCE,71,F,Blunt Object,Violent Crime,14,Yes,2020-04-02,05:00
157,2020-01-07,2020-01-07,13:48,Hyderabad,448,COUNTERFEITING,32,F,Other,Other Crime,8,No,,
158,2020-01-08,2020-01-07,03:32,Ahmedabad,588,HOMICIDE,18,F,Firearm,Other Crime,13,No,,
159,2020-01-09,2020-01-07,06:49,Delhi,236,VEHICLE - STOLEN,38,F,Poison,Violent Crime,15,Yes,2020-02-08,18:00
160,2020-01-07,2020-01-07,14:26,Kolkata,509,ASSAULT,27,F,Blunt Object,Violent Crime,17,Yes,2020-03-22,19:00
161,2020-01-09,2020-01-07,09:21,Meerut,321,COUNTERFEITING,30,F,Knife,Other Crime,13,Yes,2020-02-19,03:00
162,2020-01-07,2020-01-07,17:22,Surat,420,CYBERCRIME,17,F,None,Other Crime,12,No,,
163,2020-01-09,2020-01-07,09:50,Pune,589,SHOPLIFTING,39,F,Knife,Other Crime,15,No,,
164,2020-01-08,2020-01-07,02:04,Pune,492,ARSON,66,F,Firearm,Fire Accident,5,No,,
165,2020-01-10,2020-01-07,06:07,Ghaziabad,312,SEXUAL ASSAULT,11,F,Firearm,Violent Crime,9,Yes,2020-12-23,00:00
166,2020-01-10,2020-01-07,00:42,Ahmedabad,234,VANDALISM,54,M,Firearm,Other Crime,19,Yes,2020-03-10,14:00
167,2020-01-08,2020-01-07,05:25,Delhi,470,VANDALISM,79,M,Explosives,Other Crime,13,Yes,2020-01-27,16:00
168,2020-01-08,2020-01-07,02:01,Delhi,518,FRAUD,12,F,Firearm,Other Crime,3,Yes,2020-03-04,22:00
169,2020-01-08,2020-01-08,00:14,Lucknow,295,DRUG OFFENSE,19,F,Blunt Object,Other Crime,16,No,,
170,2020-01-10,2020-01-08,05:22,Kalyan,342,TRAFFIC VIOLATION,21,F,Knife,Traffic Fatality,8,Yes,2020-01-17,07:00
171,2020-01-09,2020-01-08,18:43,Agra,352,COUNTERFEITING,24,M,None,Other Crime,14,Yes,2020-03-11,11:00
172,2020-01-08,2020-01-08,01:57,Jaipur,305,TRAFFIC VIOLATION,58,M,Poison,Traffic Fatality,4,No,,
173,2020-01-11,2020-01-08,13:20,Hyderabad,245,SEXUAL ASSAULT,51,F,Blunt Object,Violent Crime,17,Yes,2021-10-29,03:00
174,2020-01-09,2020-01-08,01:34,Indore,438,DRUG OFFENSE,40,F,None,Other Crime,7,No,,
175,2020-01-09,2020-01-08,10:27,Surat,144,ROBBERY,64,M,Blunt Object,Violent Crime,13,Yes,2020-06-15,00:00
176,2020-01-09,2020-01-08,22:06,Lucknow,292,BURGLARY,66,F,None,Other Crime,14,Yes,2020-06-28,23:00
177,2020-01-08,2020-01-08,02:25,Chennai,134,FIREARM OFFENSE,28,F,Firearm,Fire Accident,8,Yes,2020-03-21,14:00
178,2020-01-09,2020-01-08,16:59,Mumbai,331,ILLEGAL POSSESSION,54,F,None,Other Crime,11,No,,
179,2020-01-10,2020-01-08,07:31,Agra,191,FRAUD,42,F,Knife,Other Crime,8,No,,
180,2020-01-10,2020-01-08,02:31,Pune,584,DOMESTIC VIOLENCE,72,M,Blunt Object,Violent Crime,14,Yes,2020-01-23,01:00
181,2020-01-10,2020-01-08,07:34,Bangalore,341,TRAFFIC VIOLATION,23,F,Poison,Traffic Fatality,1,No,,
182,2020-01-10,2020-01-08,12:16,Mumbai,541,CYBERCRIME,53,F,Poison,Other Crime,9,No,,
183,2020-01-10,2020-01-08,17:18,Ahmedabad,133,SEXUAL ASSAULT,28,F,Firearm,Violent Crime,12,Yes,2021-05-09,09:00
184,2020-01-10,2020-01-08,23:28,Hyderabad,422,SEXUAL ASSAULT,27,F,None,Violent Crime,4,No,,
185,2020-01-08,2020-01-08,17:27,Mumbai,151,FRAUD,67,F,Other,Other Crime,19,Yes,2020-03-03,19:00
186,2020-01-11,2020-01-08,08:32,Bangalore,287,FRAUD,70,F,Other,Other Crime,8,Yes,2020-03-12,15:00
187,2020-01-09,2020-01-08,10:28,Delhi,541,VANDALISM,75,F,Blunt Object,Other Crime,4,Yes,2020-02-13,09:00
188,2020-01-09,2020-01-08,18:53,Nagpur,236,IDENTITY THEFT,66,F,None,Violent Crime,14,Yes,2020-03-15,18:00
189,2020-01-09,2020-01-08,03:24,Hyderabad,415,EXTORTION,24,F,Knife,Other Crime,2,Yes,2020-03-23,04:00
190,2020-01-11,2020-01-08,21:24,Chennai,151,CYBERCRIME,44,M,Explosives,Other Crime,15,Yes,2020-02-12,05:00
191,2020-01-09,2020-01-08,15:53,Chennai,268,KIDNAPPING,63,F,Knife,Other Crime,9,No,,
192,2020-01-09,2020-01-08,20:39,Delhi,381,IDENTITY THEFT,18,M,Blunt Object,Violent Crime,11,Yes,2020-01-20,02:00
193,2020-01-10,2020-01-09,05:28,Ghaziabad,249,PUBLIC INTOXICATION,19,F,None,Other Crime,3,No,,
194,2020-01-09,2020-01-09,04:00,Jaipur,389,DOMESTIC VIOLENCE,49,M,None,Violent Crime,12,Yes,2020-03-06,09:00
195,2020-01-11,2020-01-09,08:16,Delhi,235,ILLEGAL POSSESSION,33,F,Poison,Other Crime,12,No,,
196,2020-01-10,2020-01-09,00:18,Lucknow,562,DOMESTIC VIOLENCE,56,M,Other,Violent Crime,4,Yes,2020-02-14,04:00
197,2020-01-10,2020-01-09,15:55,Ahmedabad,287,PUBLIC INTOXICATION,32,M,Explosives,Other Crime,1,Yes,2020-01-24,10:00
198,2020-01-11,2020-01-09,10:20,Hyderabad,316,EXTORTION,25,F,Explosives,Other Crime,10,Yes,2020-01-22,17:00
199,2020-01-10,2020-01-09,21:01,Delhi,367,ARSON,62,F,Firearm,Fire Accident,3,No,,
200,2020-01-11,2020-01-09,02:06,Nashik,471,HOMICIDE,56,F,Blunt Object,Other Crime,4,No,,
201,2020-01-11,2020-01-09,04:27,Srinagar,365,COUNTERFEITING,27,F,Blunt Object,Other Crime,8,Yes,2020-02-05,23:00
202,2020-01-12,2020-01-09,18:52,Nagpur,484,FRAUD,63,M,Explosives,Other Crime,13,No,,
203,2020-01-10,2020-01-09,12:58,Mumbai,257,DRUG OFFENSE,34,F,Blunt Object,Other Crime,2,Yes,2020-03-15,04:00
204,2020-01-11,2020-01-09,13:00,Lucknow,427,KIDNAPPING,16,F,Firearm,Other Crime,5,Yes,2020-03-14,16:00
205,2020-01-11,2020-01-09,02:34,Hyderabad,340,SHOPLIFTING,59,F,Other,Other Crime,13,Yes,2020-03-03,04:00
206,2020-01-09,2020-01-09,23:51,Thane,246,VEHICLE - STOLEN,44,F,None,Violent Crime,7,Yes,2020-02-29,22:00
207,2020-01-11,2020-01-09,12:37,Bangalore,376,COUNTERFEITING,21,F,Blunt Object,Other Crime,3,Yes,2020-02-10,08:00
208,2020-01-09,2020-01-09,20:15,Patna,542,ASSAULT,59,M,None,Violent Crime,2,No,,
209,2020-01-10,2020-01-09,17:29,Hyderabad,257,EXTORTION,41,F,Explosives,Other Crime,17,No,,
210,2020-01-12,2020-01-09,06:07,Kolkata,573,PUBLIC INTOXICATION,43,F,Knife,Other Crime,18,Yes,2020-01-14,03:00
211,2020-01-11,2020-01-09,20:05,Bhopal,148,COUNTERFEITING,15,M,Explosives,Other Crime,6,No,,
212,2020-01-10,2020-01-09,14:15,Delhi,439,FIREARM OFFENSE,34,M,Blunt Object,Fire Accident,17,No,,
213,2020-01-11,2020-01-09,07:00,Kolkata,598,IDENTITY THEFT,19,F,Firearm,Violent Crime,6,Yes,2020-01-21,23:00
214,2020-01-11,2020-01-09,02:45,Bangalore,239,VEHICLE - STOLEN,73,M,Explosives,Violent Crime,13,Yes,2020-03-13,05:00
215,2020-01-11,2020-01-09,00:56,Delhi,267,SEXUAL ASSAULT,44,M,Explosives,Violent Crime,1,Yes,2021-09-01,16:00
